Podling,Sponsor,start_date,elapsed_days,reporting_monthly,reporting_group,has_status_file,status_update_date,status_age,status_update_counts,no_of_committers,no_of_new_committers,has_a_code_repo,has_issue_tracker,has_a_dev_mailing_list,has_a_commits_mailing_list,has_website,has_distribution_area,has_release_signing_keys,has_release_distribution_area,stars,forks,pull_requests,pScore,pScore_normalized,Popular
Seata,,2023-10-29,505,False,2,True,2023-12-02,471,"0,0,0",30,0,True,True,True,True,True,True,True,True,25546,8816,30,35262,1.0,1
HertzBeat,Incubator,2024-04-05,346,False,1,True,2024-04-11,340,"0,0,0",25,0,True,True,True,True,True,True,True,True,6063,1070,30,8033,0.2274803529378387,1
Grails,Groovy,2025-01-25,51,False,1,True,2025-03-10,7,"4,-,-",10,0,False,False,True,True,False,False,False,False,2795,954,30,4649,0.13147218202967628,1
Fury,Incubator,2023-12-15,458,False,2,True,2023-12-16,457,"0,0,0",12,0,True,True,True,True,True,True,True,True,3234,267,30,4401,0.12443612222316792,1
DevLake,Incubator,2022-04-29,1053,False,2,True,2022-05-12,1040,"0,0,0",34,0,True,True,True,True,True,True,True,True,2680,562,30,4142,0.11708797911879025,1
HugeGraph,Incubator,2022-01-23,1149,False,1,True,2024-12-13,94,"0,1,1",18,6,True,True,True,False,True,True,True,True,2708,528,30,4136,0.11691775186540698,1
HoraeDB,Incubator,2023-12-11,462,False,2,True,2023-12-16,457,"0,0,0",15,0,True,True,True,True,True,True,True,True,2720,214,30,3834,0.10834964677844923,1
Iggy,Incubator,2025-02-04,41,True,3,True,2025-03-07,10,"3,-,-",12,0,True,True,True,True,True,False,False,False,2360,121,30,3381,0.0954974891480126,1
Pegasus,Incubator,2020-06-28,1723,False,1,True,2023-12-20,453,"0,0,0",19,5,True,True,True,True,True,True,True,True,2000,311,30,3211,0.0906743836354867,1
Gravitino,Incubator,2024-06-04,286,True,3,False,,0,,25,0,True,False,False,False,True,True,True,True,1383,416,30,2699,0.07614832468011462,1
Gluten,Incubator,2024-01-11,431,False,1,True,2024-01-15,427,"0,0,0",38,0,True,True,True,True,True,True,True,True,1291,467,30,2658,0.07498510511532896,1
Polaris,Incubator,2024-08-09,220,False,3,True,2024-08-27,202,"0,0,1",21,0,True,True,True,True,True,True,True,True,1380,203,30,2483,0.07002014355831702,1
Livy,Incubator,2017-06-05,2842,False,1,True,2017-06-23,2824,"0,0,0",24,0,True,False,False,False,True,True,True,True,904,606,30,2410,0.06794904530882061,1
Amoro,Incubator,2024-03-11,371,False,1,True,2024-03-19,363,"0,0,0",24,0,True,True,True,True,True,True,True,True,936,318,30,2154,0.06068601583113457,1
XTable,Incubator,2024-02-11,400,False,2,True,2024-05-16,305,"0,0,0",10,0,True,True,True,True,True,True,True,True,1000,166,30,2066,0.05818934944817999,1
StormCrawler,Incubator,2024-03-19,363,False,1,True,2024-03-29,353,"0,0,0",10,0,True,True,True,True,True,True,True,True,902,262,30,2064,0.058132607030385565,1
Cloudberry,Incubator,2024-10-11,157,False,2,True,2024-12-05,102,"0,1,4",24,0,True,False,True,True,True,False,False,False,909,139,30,1948,0.054841546798309077,1
Toree,Incubator,2015-12-02,3393,True,2,True,2020-07-19,1702,"0,0,0",11,3,True,True,False,False,True,True,True,True,741,224,30,1865,0.052486736459840554,1
Teaclave,Incubator,2019-08-20,2036,True,1,True,2023-04-04,713,"0,0,0",25,3,True,False,False,False,True,True,True,True,773,160,30,1833,0.0515788577751298,1
Baremaps,Incubator,2022-10-10,889,False,3,True,2022-10-20,879,"0,0,0",14,0,True,True,True,True,True,True,True,True,531,66,30,1497,0.04204613158566686,1
ResilientDB,Incubator,2023-10-21,513,False,1,True,2024-04-11,340,"0,0,0",31,0,True,False,True,False,True,True,True,True,144,215,30,1259,0.03529378386813062,1
OpenServerless,Incubator,2024-06-17,273,False,3,True,2024-07-20,240,"0,0,2",13,0,True,True,True,True,True,False,False,False,537,15,26,1228,0.034414276392317075,1
Wayang,Incubator,2020-12-16,1552,False,3,True,2021-01-22,1515,"0,0,0",16,0,True,False,True,True,True,True,True,True,219,92,30,1211,0.03393196584106449,0
GraphAr,Incubator,2024-03-25,357,False,2,True,2024-04-07,344,"0,0,0",11,0,True,True,True,True,True,True,True,True,234,46,30,1180,0.03305245836525094,0
Annotator,Incubator,2016-08-30,3121,False,1,True,2020-10-09,1620,"0,0,0",8,0,True,True,False,False,True,True,True,True,231,41,30,1172,0.03282548869407326,0
Nemo,Incubator,2018-02-04,2598,True,3,True,2018-03-01,2573,"0,0,0",18,0,True,True,True,True,True,True,True,True,112,64,30,1076,0.030101852639940987,0
OzHera,Incubator,2024-07-11,249,False,3,False,,0,,13,0,True,False,False,False,True,True,True,False,91,35,30,1026,0.028683292195080434,0
Pony Mail,Incubator,2016-05-27,3216,True,1,True,2024-07-19,241,"0,0,1",11,0,True,True,True,True,True,True,True,True,81,31,30,1012,0.028286095270519476,0
NLPCraft,Incubator,2020-02-13,1859,False,2,True,2020-10-08,1621,"0,0,0",10,1,True,False,False,False,True,True,True,True,79,25,30,1004,0.02805912559934179,0
Training,Incubator,2019-02-21,2216,True,2,True,2019-02-28,2209,"0,0,0",17,0,True,True,True,True,True,True,True,True,31,38,30,969,0.0270661332879394,0
Otava,Incubator,2024-11-27,110,False,3,True,2025-02-21,24,"2,4,-",9,1,True,False,True,True,False,False,False,False,58,13,27,800,0.02227139898431072,0
KIE,Incubator,2023-01-13,794,False,3,True,2024-02-13,398,"0,0,0",64,0,True,True,True,True,True,True,True,True,13,1,1,15,0.0,0
